param_classifier__learning_rate,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,param_classifier__reg_lambda,param_classifier__subsample,param_classifier__subsample_freq,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.01,5,300,15,1,0.6,1,0.6082949308755761,0.6492307692307693,0.6140089418777943,0.6105263157894737,0.6552262090483619
0.01,5,300,15,1,0.8,1,0.6068111455108359,0.6503067484662577,0.6081871345029239,0.6188340807174888,0.6593406593406593
0.01,5,300,15,3,0.4,1,0.6058732612055642,0.6482334869431644,0.6181277860326895,0.608955223880597,0.6572327044025157
0.01,5,300,15,3,0.6,1,0.6104294478527608,0.6474164133738601,0.6162962962962963,0.608955223880597,0.65625
0.01,5,300,15,3,0.8,1,0.6061538461538462,0.650381679389313,0.6122448979591837,0.61698956780924,0.658307210031348
0.01,5,300,15,7,0.4,1,0.6070878274268104,0.649390243902439,0.616519174041298,0.6172106824925816,0.6635367762128326
0.01,5,300,15,7,0.6,1,0.6076335877862595,0.649390243902439,0.6174298375184638,0.6130952380952381,0.6521739130434783
0.01,5,300,15,7,0.8,1,0.6055045871559633,0.6504559270516718,0.6176470588235294,0.6160714285714286,0.6573208722741433
0.01,5,300,31,1,0.4,1,0.6034214618973561,0.6459627329192547,0.6140089418777943,0.6130952380952381,0.6624405705229794
0.01,5,300,31,1,0.6,1,0.6027820710973725,0.6490683229813664,0.6188340807174888,0.6102719033232629,0.6571879936808847
0.01,5,300,31,1,0.8,1,0.6118012422360248,0.6473282442748092,0.6008836524300442,0.6146926536731634,0.6561514195583596
0.01,5,300,31,3,0.4,1,0.6065318818040435,0.6512345679012346,0.6192592592592593,0.6107784431137725,0.6572327044025157
0.01,5,300,31,3,0.6,1,0.6049382716049383,0.6440677966101694,0.6149253731343284,0.6174698795180723,0.6520376175548589
0.01,5,300,31,3,0.8,1,0.6089644513137558,0.6441717791411042,0.6058823529411764,0.6137724550898204,0.6551724137931034
0.01,5,300,31,7,0.4,1,0.6018518518518519,0.6534351145038167,0.6174298375184638,0.6181277860326895,0.6593059936908517
0.01,5,300,31,7,0.6,1,0.6024464831804281,0.6463414634146342,0.6151560178306092,0.61698956780924,0.658307210031348
