param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__max_depth,param_classifier__min_child_weight,param_classifier__n_estimators,param_classifier__subsample,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score
0.8,0.05,5,1,400,0.8,0.597972972972973,0.6531302876480541,0.6060606060606061,0.6133768352365416,0.6409395973154363
0.8,0.05,5,3,100,0.4,0.6078740157480315,0.6486486486486487,0.6116207951070336,0.622356495468278,0.6548956661316212
0.8,0.05,5,3,100,0.6,0.6067415730337079,0.6541471048513302,0.6021180030257186,0.6141975308641975,0.65814696485623
0.8,0.05,5,3,100,0.8,0.6069182389937107,0.6531881804043546,0.6017964071856288,0.6102719033232629,0.6485623003194888
0.8,0.05,5,3,200,0.4,0.6058631921824105,0.642504118616145,0.6139534883720931,0.6103286384976526,0.6525974025974026
0.8,0.05,5,3,200,0.6,0.6136363636363636,0.6559485530546624,0.5947611710323575,0.6040688575899843,0.645367412140575
0.8,0.05,5,3,200,0.8,0.6103896103896104,0.6613672496025437,0.6012269938650306,0.6086956521739131,0.6601626016260163
0.8,0.05,5,3,300,0.4,0.6131147540983607,0.6545454545454545,0.6095238095238096,0.5968253968253968,0.6449511400651465
0.8,0.05,5,3,300,0.6,0.5996758508914101,0.6644628099173554,0.5968253968253968,0.6,0.6493506493506493
0.8,0.05,5,3,300,0.8,0.5924713584288053,0.6579378068739771,0.5971563981042654,0.6096774193548387,0.642504118616145
0.8,0.05,5,3,400,0.4,0.6073825503355704,0.66110183639399,0.6022544283413849,0.5954692556634305,0.6403940886699507
0.8,0.05,5,3,400,0.6,0.5903814262023217,0.6711409395973155,0.5967741935483871,0.6038961038961039,0.6513911620294599
0.8,0.05,5,3,400,0.8,0.5950413223140496,0.6555740432612313,0.5945945945945946,0.6105610561056105,0.6380165289256199
0.8,0.05,5,5,100,0.4,0.618066561014263,0.6550632911392406,0.6149162861491628,0.6242424242424243,0.6477093206951027
0.8,0.05,5,5,100,0.6,0.6053882725832013,0.6573208722741433,0.5952380952380952,0.5996955859969558,0.6507177033492823
0.8,0.05,5,5,100,0.8,0.6110236220472441,0.6530612244897959,0.6033182503770739,0.6097560975609756,0.6518987341772152
0.8,0.05,5,5,200,0.4,0.6051779935275081,0.6536585365853659,0.599388379204893,0.6040688575899843,0.6525974025974026
0.8,0.05,5,5,200,0.6,0.605475040257649,0.6602870813397129,0.593939393939394,0.6053042121684867,0.6494345718901454
0.8,0.05,5,5,200,0.8,0.6116504854368932,0.6730769230769231,0.6130030959752322,0.6120556414219475,0.6462035541195477
0.8,0.05,5,5,300,0.4,0.5945072697899838,0.6546052631578947,0.6015748031496063,0.6053882725832013,0.6601941747572816
0.8,0.05,5,5,300,0.6,0.6019417475728155,0.6644736842105263,0.6050156739811913,0.6056782334384858,0.6418152350081038
0.8,0.05,5,5,300,0.8,0.5957446808510638,0.6774716369529984,0.6069182389937107,0.6136724960254372,0.6343042071197411
0.8,0.05,5,5,400,0.4,0.5980066445182725,0.6633663366336634,0.589171974522293,0.6003159557661928,0.6490939044481054
0.8,0.05,5,5,400,0.6,0.6062602965403624,0.6733668341708543,0.6063492063492063,0.5971107544141252,0.636215334420881
0.8,0.05,5,5,400,0.8,0.5963756177924218,0.6721854304635762,0.6104928457869634,0.6022544283413849,0.6206896551724138
0.8,0.05,7,1,100,0.4,0.6140939597315436,0.6733001658374793,0.6188197767145136,0.6053882725832013,0.6455906821963394
0.8,0.05,7,1,100,0.6,0.6197654941373534,0.6600985221674877,0.6234177215189873,0.6116504854368932,0.6410684474123539
0.8,0.05,7,1,100,0.8,0.6030150753768844,0.6633663366336634,0.610062893081761,0.6193548387096774,0.6460032626427407
0.8,0.05,7,1,200,0.4,0.58578856152513,0.6561954624781849,0.6411960132890365,0.5958904109589042,0.634974533106961
0.8,0.05,7,1,200,0.6,0.603448275862069,0.657487091222031,0.6189683860232945,0.589018302828619,0.637137989778535
0.8,0.05,7,1,200,0.8,0.5882352941176471,0.6518010291595198,0.6095551894563427,0.6023294509151415,0.6351351351351351
0.8,0.05,7,1,300,0.4,0.5874125874125874,0.647787610619469,0.631578947368421,0.5941278065630398,0.6306620209059234
0.8,0.05,7,1,300,0.6,0.5925925925925926,0.6345811051693404,0.6275862068965518,0.5886402753872634,0.631578947368421
0.8,0.05,7,1,300,0.8,0.5964285714285714,0.6362038664323374,0.6084033613445378,0.6024096385542169,0.6366782006920415
0.8,0.05,7,1,400,0.4,0.592057761732852,0.6415770609318996,0.6204506065857885,0.5859649122807018,0.6254416961130742
0.8,0.05,7,1,400,0.6,0.5792349726775956,0.6134301270417423,0.6212914485165794,0.5714285714285714,0.6206896551724138
0.8,0.05,7,1,400,0.8,0.575591985428051,0.6243194192377496,0.6116838487972509,0.5799648506151143,0.6300884955752213
0.8,0.05,7,3,100,0.4,0.6161449752883031,0.6589403973509934,0.6163522012578616,0.6168521462639109,0.6600985221674877
0.8,0.05,7,3,100,0.6,0.6110183639398998,0.6622734761120264,0.620253164556962,0.610223642172524,0.6426229508196721
0.8,0.05,7,3,100,0.8,0.6013289036544851,0.6710310965630114,0.6059654631083202,0.6194968553459119,0.6437908496732027
0.8,0.05,7,3,200,0.4,0.6051282051282051,0.6643478260869565,0.6045751633986928,0.5983471074380166,0.6452702702702703
0.8,0.05,7,3,200,0.6,0.5864406779661017,0.6587436332767402,0.6138613861386139,0.5967213114754099,0.6319327731092437
0.8,0.05,7,3,200,0.8,0.6047297297297297,0.6599326599326599,0.6108374384236454,0.6058631921824105,0.6510851419031719
0.8,0.05,7,3,300,0.4,0.5947826086956521,0.6526315789473685,0.6056572379367721,0.5792163543441227,0.6374367622259697
0.8,0.05,7,3,300,0.6,0.5878260869565217,0.6402753872633391,0.6135593220338983,0.587248322147651,0.6271186440677966
0.8,0.05,7,3,300,0.8,0.5996533795493935,0.6426116838487973,0.6043405676126878,0.5912162162162162,0.6312178387650086
0.8,0.05,7,3,400,0.4,0.5790408525754884,0.6502636203866432,0.6023294509151415,0.5836177474402731,0.6437177280550774
0.8,0.05,7,3,400,0.6,0.5950704225352113,0.631578947368421,0.612736660929432,0.5772495755517827,0.6223776223776224
